,x,loss
0,"[0.44649601 0.         0.         0.31551317 1.         0.40301922
 0.78453395 0.         0.2218635  0.82465091 0.34555762 0.51066508
 0.48433308 0.62044493 0.34749514 1.         0.38254928 0.1081191
 0.43144384 0.         0.         0.46809119 0.59508538 0.42057232
 1.         1.         0.55351353 1.        ]",2119.47238356945
1,"[1.         0.46240022 1.         0.         0.46924751 0.56640484
 0.00566543 0.14935022 1.         0.20581905 0.         1.
 0.16049774 0.         0.11163613 0.76227418 0.16244821 0.93342453
 0.01249505 0.         0.92571661 1.         0.11561499 1.
 1.         0.         0.         0.65071335]",2501.439498059555
2,"[0.28388539 0.21061232 0.35994822 0.98524681 0.         0.36510581
 0.42364698 0.         0.81248874 0.05647822 0.75146135 0.
 0.31513081 0.13281792 0.62191423 0.75476494 0.22858681 0.48936039
 0.         1.         1.         0.31224881 0.         0.
 1.         0.41569689 0.         0.        ]",2501.963722935505
3,"[0.59451987 0.47820699 0.94858215 0.35194174 0.27751306 0.
 0.         0.07309678 0.68446788 0.         0.75698846 0.
 1.         0.68950356 0.         1.         0.85292866 0.51640176
 0.59954761 0.         0.         1.         0.         0.00156917
 0.02221815 1.         0.08291415 0.86802744]",2545.196571931469
4,"[1.         0.13504729 0.51960874 1.         0.56200602 0.0108916
 1.         0.27275294 0.29520819 0.68297772 1.         0.03445166
 0.08443725 0.96842976 0.         1.         0.32162029 0.49273147
 0.         0.         1.         0.87879544 0.7566166  0.05776496
 0.42005191 0.33109407 0.40755502 0.        ]",2581.260428327547
5,"[1.         0.09052498 1.         0.92003093 0.08342661 0.80763023
 0.         0.01692761 1.         0.         0.         0.91656501
 0.60494786 0.         0.69512103 0.         0.67485051 0.
 0.33890372 0.1196214  0.         1.         0.43824546 1.
 0.55920617 0.19616875 0.68506786 1.        ]",2581.273052571755
6,"[0.74839421 0.31124173 1.         1.         1.         0.02664446
 1.         0.83596435 0.         1.         0.         0.53046959
 1.         0.19447553 0.68521711 0.99001309 0.94285212 0.
 0.57092081 0.         0.77274879 1.         0.6744679  0.70882894
 1.         1.         0.         1.        ]",2631.3514686063145
7,"[0.80542429 0.10521885 0.05071493 1.         0.17412292 1.
 1.         0.94854355 1.         1.         0.42831891 0.04556304
 0.         0.611971   0.05931159 1.         0.         0.63819487
 0.11502734 0.69135832 1.         0.55321938 0.61082422 1.
 0.98915949 0.88627275 0.         1.        ]",2967.277255964153
8,"[0.96540782 1.         1.         0.05006664 0.         1.
 1.         0.98593671 0.22047746 0.         0.75990523 0.86651341
 0.10922639 1.         0.79246968 1.         0.399448   0.
 0.44059083 0.22562947 0.31403069 0.42441829 0.80774266 0.92713331
 0.         0.02844274 0.         1.        ]",3354.477179678539
9,"[0.30577745 1.         1.         1.         0.55666709 1.
 0.97372849 0.44940928 0.55634613 0.6952148  0.         0.28939542
 0.         1.         0.2439003  0.83549219 0.12855155 0.61524099
 1.         0.74326479 0.88692756 0.16385358 1.         0.0780018
 0.76888887 0.13215773 0.83962126 0.58205544]",3493.4005183626678
